*** Deploying with SOAP API v53.0 ***
Deploy ID: 0Af0300000Xm92dCAB

=== Component Failures [60]
Type     Name                                    Problem
───────  ──────────────────────────────────────  ────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
Error    Account-pt_BR                           In field: fullName - no CustomField named Account.Agr_BillingComplement__c found (363:13)
Warning  Asset-pt_BR                             Couldn't locate layout section:System Information in layout:Contact (Retail Client - Individual) Layout (86:19)
Warning  Asset-pt_BR                             Couldn't locate layout section:Know Your Client in layout:Contact (Retail Client - Individual) Layout (82:19)
Warning  Asset-pt_BR                             Couldn't locate layout section:Custom Links in layout:Contact (Retail Client - Individual) Layout (78:19)
Warning  Asset-pt_BR                             Couldn't locate layout section:Communication Preferences in layout:Contact (Retail Client - Individual) Layout (74:19)
Warning  Asset-pt_BR                             Couldn't locate layout section:Communication Details in layout:Contact (Retail Client - Individual) Layout (70:19)
Warning  Asset-pt_BR                             Couldn't locate layout section:System Information in layout:Contact (Policyholder) Layout (63:19)
Warning  Asset-pt_BR                             Couldn't locate layout section:Employment Information in layout:Contact (Policyholder) Layout (59:19)
Warning  Asset-pt_BR                             Couldn't locate layout section:Demographics in layout:Contact (Policyholder) Layout (55:19)
Warning  Asset-pt_BR                             Couldn't locate layout section:Custom Links in layout:Contact (Policyholder) Layout (51:19)
Warning  Asset-pt_BR                             Couldn't locate layout section:Contact Details in layout:Contact (Policyholder) Layout (47:19)
Warning  Asset-pt_BR                             Couldn't locate layout section:Communication Details in layout:Contact (Policyholder) Layout (43:19)
Warning  Asset-pt_BR                             Couldn't locate layout section:Informações Adicionais in layout:Contact (Individual) Layout (36:19)
Warning  Asset-pt_BR                             Couldn't locate layout section:Employment Information in layout:Contact (Individual) Layout (32:19)
Warning  Asset-pt_BR                             Couldn't locate layout section:Custom Links in layout:Contact (Individual) Layout (28:19)
Warning  Asset-pt_BR                             Couldn't locate layout section:Contact Details in layout:Contact (Individual) Layout (24:19)
Warning  Asset-pt_BR                             Couldn't locate layout section:Address 2 in layout:Contact (Individual) Layout (20:19)
Warning  Asset-pt_BR                             Couldn't locate layout section:Endereço residencial in layout:Contact (Business) Layout (13:19)
Warning  Asset-pt_BR                             Couldn't locate layout section:Custom Links in layout:Contact (Business) Layout (9:19)
Warning  BranchUnit-pt_BR                        Couldn't locate layout section:System Information in layout:Contact (Retail Client - Individual) Layout (86:19)
Warning  BranchUnit-pt_BR                        Couldn't locate layout section:Know Your Client in layout:Contact (Retail Client - Individual) Layout (82:19)
Warning  BranchUnit-pt_BR                        Couldn't locate layout section:Custom Links in layout:Contact (Retail Client - Individual) Layout (78:19)
Warning  BranchUnit-pt_BR                        Couldn't locate layout section:Communication Preferences in layout:Contact (Retail Client - Individual) Layout (74:19)
Warning  BranchUnit-pt_BR                        Couldn't locate layout section:Communication Details in layout:Contact (Retail Client - Individual) Layout (70:19)
Warning  BranchUnit-pt_BR                        Couldn't locate layout section:System Information in layout:Contact (Policyholder) Layout (63:19)
Warning  BranchUnit-pt_BR                        Couldn't locate layout section:Employment Information in layout:Contact (Policyholder) Layout (59:19)
Warning  BranchUnit-pt_BR                        Couldn't locate layout section:Demographics in layout:Contact (Policyholder) Layout (55:19)
Warning  BranchUnit-pt_BR                        Couldn't locate layout section:Custom Links in layout:Contact (Policyholder) Layout (51:19)
Warning  BranchUnit-pt_BR                        Couldn't locate layout section:Contact Details in layout:Contact (Policyholder) Layout (47:19)
Warning  BranchUnit-pt_BR                        Couldn't locate layout section:Communication Details in layout:Contact (Policyholder) Layout (43:19)
Warning  BranchUnit-pt_BR                        Couldn't locate layout section:Informações Adicionais in layout:Contact (Individual) Layout (36:19)
Warning  BranchUnit-pt_BR                        Couldn't locate layout section:Employment Information in layout:Contact (Individual) Layout (32:19)
Warning  BranchUnit-pt_BR                        Couldn't locate layout section:Custom Links in layout:Contact (Individual) Layout (28:19)
Warning  BranchUnit-pt_BR                        Couldn't locate layout section:Contact Details in layout:Contact (Individual) Layout (24:19)
Warning  BranchUnit-pt_BR                        Couldn't locate layout section:Address 2 in layout:Contact (Individual) Layout (20:19)
Warning  BranchUnit-pt_BR                        Couldn't locate layout section:Endereço residencial in layout:Contact (Business) Layout (13:19)
Warning  BranchUnit-pt_BR                        Couldn't locate layout section:Custom Links in layout:Contact (Business) Layout (9:19)
Warning  Contact-pt_BR                           Couldn't locate layout section:System Information in layout:Contact (Retail Client - Individual) Layout (86:19)
Warning  Contact-pt_BR                           Couldn't locate layout section:Know Your Client in layout:Contact (Retail Client - Individual) Layout (82:19)
Warning  Contact-pt_BR                           Couldn't locate layout section:Custom Links in layout:Contact (Retail Client - Individual) Layout (78:19)
Warning  Contact-pt_BR                           Couldn't locate layout section:Communication Preferences in layout:Contact (Retail Client - Individual) Layout (74:19)
Warning  Contact-pt_BR                           Couldn't locate layout section:Communication Details in layout:Contact (Retail Client - Individual) Layout (70:19)
Warning  Contact-pt_BR                           Couldn't locate layout section:System Information in layout:Contact (Policyholder) Layout (63:19)
Warning  Contact-pt_BR                           Couldn't locate layout section:Employment Information in layout:Contact (Policyholder) Layout (59:19)
Warning  Contact-pt_BR                           Couldn't locate layout section:Demographics in layout:Contact (Policyholder) Layout (55:19)
Warning  Contact-pt_BR                           Couldn't locate layout section:Custom Links in layout:Contact (Policyholder) Layout (51:19)
Warning  Contact-pt_BR                           Couldn't locate layout section:Contact Details in layout:Contact (Policyholder) Layout (47:19)
Warning  Contact-pt_BR                           Couldn't locate layout section:Communication Details in layout:Contact (Policyholder) Layout (43:19)
Warning  Contact-pt_BR                           Couldn't locate layout section:Informações Adicionais in layout:Contact (Individual) Layout (36:19)
Warning  Contact-pt_BR                           Couldn't locate layout section:Employment Information in layout:Contact (Individual) Layout (32:19)
Warning  Contact-pt_BR                           Couldn't locate layout section:Custom Links in layout:Contact (Individual) Layout (28:19)
Warning  Contact-pt_BR                           Couldn't locate layout section:Contact Details in layout:Contact (Individual) Layout (24:19)
Warning  Contact-pt_BR                           Couldn't locate layout section:Address 2 in layout:Contact (Individual) Layout (20:19)
Warning  Contact-pt_BR                           Couldn't locate layout section:Endereço residencial in layout:Contact (Business) Layout (13:19)
Warning  Contact-pt_BR                           Couldn't locate layout section:Custom Links in layout:Contact (Business) Layout (9:19)
Error    agr_LegalRepresentativeAccountFields    Referência inválida Account.Agr_CPF_CNPJ_Repr__c do tipo sobjectField no arquivo agr_LegalRepresentativeAccountFields.js
Error    Account.FinServ__IndustriesBusiness     Picklist value: IB in picklist: AccountSource not found (4179:18)
Error    Account.FinServ__IndustriesHousehold    Picklist value: IB in picklist: AccountSource not found (6062:18)
Error    Account.FinServ__IndustriesIndividual   Picklist value: IB in picklist: AccountSource not found (7937:18)
Error    Account.FinServ__IndustriesInstitution  Picklist value: IB in picklist: AccountSource not found (9812:18)


=== Test Results Summary
Passing: 0
Failing: 0
Total: 0
Time: 0
